,english,098dmx
fluently,english,10wa
fluently,chinese,10wa
somewhat,japanese,10wa
,english,11mjerao
,english,1212amber
,swedish,12flugor
,english,12flugor
,chinese_(mandarin),12flugor
,english,1981124h
fluently,english,1newkid
somewhat,chinese,1newkid
,english,20160131
,chinese,20160131
,english,2020201
,english,23_missm
,tagalog,23_missm
,english,23charina
,english,28851262
fluently,english,33hibiscus
fluently,chinese,33hibiscus
somewhat,english,3princess
fluently,chinese,3princess
somewhat,english,3san3
fluently,chinese,3san3
,english,4uintw
somewhat,chinese,4uintw
somewhat,english,520istrue
fluently,chinese,520istrue
somewhat,japanese,520istrue
,chinese_(mandarin),6bluesunshine6
,english,6bluesunshine6
,chinese,6thavenue
,english,6thavenue
fluently,chinese,78421tw
somewhat,english,78421tw
,english,7hao
fluently,english,89248
fluently,chinese,89248
somewhat,japanese,89248
somewhat,c++,89248
somewhat,french,89248
,english,9refresh
fluently,english,_____adam______
fluently,chinese,_____adam______
somewhat,japanese,_____adam______
,english,_blaze_
,english,_o_mathilde
,english,a-pen
,english,a00151500
,chinese,a00151500
,english,a007-rock
,english,a0710
,english,a0986586725
,english,a44455566
,english,a5121231
somewhat,english,a6519099
fluently,chinese,a6519099
,english,a7500200013
,english,a87124
,chinese,a87124
fluently,english,a_life_aquatic
somewhat,french,a_life_aquatic
somewhat,chinese,a_life_aquatic
,chinese,aaaaaannaaaaaa
,english,aaaaaannaaaaaa
,english,aaaaannnnnn
fluently,chinese,aaaaannnnnn
,english,aappk
,english,aarin_taco
,english,aaron1219
,chinese,aaron1219
,english,aaronthebestbest
,chinese_(mandarin),aaronthebestbest
,english,aas87127tw
,chinese,aas87127tw
,english,abas1_taco
,chinese,abbey_leee
fluently,english,abbeyzv
fluently,french,abbeyzv
somewhat,chinese_(mandarin),abbeyzv
somewhat,english,abbiewu1024
,chinese,abby-cheng
,english,abby101176
,chinese_(mandarin),abby101176
somewhat,spanish,abby101176
somewhat,english,abby257
fluently,chinese,abby257
,english,abbychen
,chinese_(mandarin),abbychen
,english,abbyend
,chinese,abbyend
fluently,chinese_(mandarin),abbypc
fluently,english,abbypc
somewhat,chinese_(cantonese),abbypc
,chinese_(mandarin),abbypei
,english,abbypei
,english,abbytsai123
,chinese,abbytsai123
,chinese,abbywhy
,english,abbywhy
,english,abcd1234athecat
,chinese_(mandarin),abcd1234athecat
,english,abe55132
,english,abeeeeeeeee0301
,english,abelmix_great
,chinese,abigail0730
,english,abigail0730
,chinese,abraham_lim
,english,abraham_lim
fluently,english,acalone
fluently,chinese,acalone
,english,aceuphisleev
,chinese,aceuphisleev
,spanish,aceuphisleev
fluently,english,aclin
fluently,spanish,aclin
fluently,portuguese,aclin
fluently,chinese,aclin
somewhat,french,aclin
somewhat,english,ada7210
fluently,chinese,ada7210
,english,adad404070599
,chinese,adad404070599
,chinese,adaline-29
,english,adaline-29
,japanese,adaline-29
,english,adam123adam123ad
somewhat,japanese,adam123adam123ad
,italian,adam123adam123ad
,hebrew,adam123adam123ad
,english,adamhouse
fluently,english,adaminamada
somewhat,japanese,adaminamada
,english,adashih
,english,adchuckle
fluently,chinese,adchuckle
somewhat,english,addbow
fluently,chinese,addbow
fluently,chinese,adiliang
somewhat,english,adiliang
,english,adjem80
,tagalog,adorablemj
,english,adorablemj
,chinese_(mandarin),adorablemj
,english,adornofangirl
,german,adornofangirl
fluently,english,adriaanw
fluently,afrikaans,adriaanw
somewhat,chinese,adriaanw
,english,adventurer919
somewhat,chinese_(mandarin),adventurer919
somewhat,english,adycarol
fluently,chinese,adycarol
somewhat,english,adzukiwei
fluently,chinese,adzukiwei
,english,aelanbelle
,english,aex1019
,english,afgreyhtrgh
,english,afo02e
,chinese_(mandarin),afo02e
,english,afrading
,chinese,afrading
,english,africanboycute
fluently,english,afryshortofa
somewhat,chinese,afryshortofa
,english,agggieee
,english,aguis615
,english,ai10nelson
,english,aiannatheangel
somewhat,english,aiden-teng
fluently,chinese,aiden-teng
,english,aidinred
fluently,chinese,ailisia
somewhat,english,ailisia
,english,ailsayj
,chinese,ailsayj
fluently,chinese,aini0229
somewhat,english,aini0229
,english,airenefromspace
,english,airheadvera
,chinese_(mandarin),airheadvera
,english,airmax369
somewhat,english,aituwan
fluently,chinese_(mandarin),aituwan
somewhat,japanese,aituwan
somewhat,french,aituwan
somewhat,spanish,aituwan
,english,ajaysingh11
fluently,english,ak_bklyn
somewhat,chinese,ak_bklyn
fluently,chinese,akico-lo
somewhat,english,akico-lo
,english,akim465
,english,akkiimania
,chinese,akkiimania
somewhat,english,akosijoyce
fluently,chinese_(mandarin),akosijoyce
somewhat,tagalog,akosijoyce
,english,aksahu_taco
,chinese,alan1108
,english,alanbryan
,chinese,alanchangthecat
,english,alanchangthecat
,english,alansdarry
,english,alberthsu
,spanish,alberthsu
,english,albertshaw
,english,alex11112_taco
,spanish,alexander1404
somewhat,english,alexander1404
somewhat,chinese,alexander1404
fluently,english,alexguo5566
fluently,chinese,alexguo5566
somewhat,english,alexleech
fluently,chinese,alexleech
fluently,c++,alexleech
,english,alexsky123
,chinese,alfielin
,english,alfielin
,english,alfiesinger
,chinese,alfiesinger
,english,alialicehuang
,chinese,alice682376
,english,alice682376
,english,alice_1010
,english,alicechen0804
fluently,chinese,alicechen0804
,english,ponnzzyy
,japanese,ponnzzyy
somewhat,english,alicelibra
fluently,chinese,alicelibra
,english,alicepear
,chinese_(mandarin),alicepear
,english,aliceroos
fluently,english,alicewu340
fluently,chinese,alicewu340
somewhat,japanese,alicewu340
,english,aliceyangthecat
,english,aliceyellow
,spanish,alicia77220
,english,alicia77220
,english,aliciainhouse
,chinese_(mandarin),aliciainhouse
,english,alicialeethecat
,japanese,alicialeethecat
,chinese_(mandarin),alinanan
,english,alinanan
,english,alisamba
,english,alison_chen_27
,chinese,alison_chen_27
,english,alisonworld
fluently,chinese,alivefreedom
somewhat,english,alivefreedom
fluently,english,alka2016
fluently,chinese_(mandarin),alka2016
,chinese,allan1010
fluently,chinese,allan31770
somewhat,english,allan31770
,english,allenchien
somewhat,english,allenleethecat
fluently,chinese_(mandarin),allenleethecat
,english,allentai
,chinese,allentai
,chinese,allenyj
somewhat,english,allenyj
fluently,chinese,allison_wu
somewhat,english,allison_wu
,english,allisonchien
,english,allyhsu
,chinese,allyhsu
,english,almaalva
,chinese,almaalva
,english,alqlion
,chinese_(mandarin),alston990
somewhat,english,alston990
,english,always-lost-tx
fluently,english,alwayssweety
somewhat,german,alwayssweety
fluently,chinese_(mandarin),alwayssweety
,english,alywilliam
somewhat,english,amandaamarilla
fluently,chinese,amandaamarilla
fluently,english,amandalu617
fluently,chinese_(mandarin),amandalu617
somewhat,japanese,amandalu617
,chinese,amandapersue
somewhat,english,amandapersue
somewhat,english,amandawutaipei
,chinese,amandawutaipei
,chinese,amandylee
,english,amandylee
fluently,english,amaranthine6
fluently,chinese_(mandarin),amaranthine6
somewhat,japanese,amaranthine6
,chinese,amay724
,english,amay724
,chinese,amber_hi_43
,english,amber_hi_43
,english,amberbaby35612
,chinese,amberfang
,english,amberfang
,korean,amberfang
somewhat,english,amberfang0808
fluently,chinese_(mandarin),amberfang0808
,english,amberhsu923
,chinese,amberhsu923
,english,amberhuang
,chinese,amberhuang
,chinese,amberki1120
,english,amberki1120
,english,amberlin731
,english,amberliu530
,chinese,amberliu530
,english,ambertrishumay
,turkish,ambertrishumay
,chinese,amberyucp
,english,amberyucp
fluently,english,ambreeeeeeeeee
fluently,english,americanteach
somewhat,chinese,americanteach
somewhat,english,amersha
,chinese,amersha
,chinese_(mandarin),amiiokcupid
,english,amiiokcupid
fluently,french,aminaaz
fluently,english,aminaaz
somewhat,spanish,aminaaz
somewhat,chinese,aminaaz
,chinese,amiw333
,english,amiw333
,english,amongstthetreez
,english,amor23thecat
,english,amr3335
,english,amrooooo26
fluently,english,amy0914
fluently,chinese,amy0914
,chinese,amy80124
,english,amy80124
,english,amy_0621
somewhat,english,amychang-taiwan
fluently,chinese,amychang-taiwan
,chinese,amyhseu
,english,amyhseu
,chinese_(mandarin),amyjokesintp
,english,amyjokesintp
,english,amyljj
,chinese_(mandarin),amyljj
,english,amylo09
somewhat,english,amysoq
fluently,chinese_(mandarin),amysoq
,english,amywu-o-matic
,english,an_anonymoussss
,chinese,an_anonymoussss
,english,anan2016
,chinese_(mandarin),anan2016
,english,anaprinces21
,english,anbarc
,chinese_(mandarin),anbarc
,chinese_(mandarin),anc102
,english,anc102
,english,and8585
,english,anderson11111111
,chinese,anderson11111111
,french,anderson11111111
,english,andlie111
,english,andre_cl
,chinese_(mandarin),andre_cl
,english,andreas_li
,english,andreataipei
,english,andreatsai168
fluently,english,andreschang
somewhat,chinese,andreschang
somewhat,spanish,andreschang
somewhat,french,andreschang
,english,andrew_lipus
fluently,english,andrewlie
somewhat,chinese,andrewlie
fluently,indonesian,andrewlie
,chinese,andrewzhu
,english,andrewzhu
,english,andy09a30b
somewhat,english,andy7643
fluently,chinese,andy7643
fluently,english,andyfromtheuk
,english,andylin_taco
,english,andyoconn
,english,anechkasarie
,tagalog,anechkasarie
fluently,english,angel07041117
fluently,chinese,angel07041117
somewhat,english,angel_didi
fluently,chinese,angel_didi
,chinese,angela0410thecat
somewhat,english,angela0410thecat
somewhat,korean,angela0410thecat
fluently,chinese,angela_ho21
somewhat,english,angela_ho21
,chinese_(mandarin),angelakao
,english,angelakao
fluently,english,angelakiki
fluently,chinese,angelakiki
,english,angelalac
,chinese,angelalac
,english,angelamindy
,english,angelusssycl
,chinese,angelusssycl
,english,angelyeh23
,chinese,angelyeh23
,english,angie0229
,chinese_(mandarin),angie0229
somewhat,japanese,angie0229
,english,angiehrw
,english,angiehsieh
,chinese,angiehsieh
,english,angiemine15
,english,angiewang01
,chinese_(mandarin),angiewang01
,english,angusku
fluently,chinese_(mandarin),angyfan
somewhat,english,angyfan
,english,anishi_dj
,english,anita__00
,english,anitainmytwlife
fluently,chinese,anitainmytwlife
somewhat,english,anitalee815
somewhat,french,anitalee815
fluently,chinese,anitalee815
,chinese,annachao
,english,annachao
,english,annacookie_taco
fluently,english,annalin27
,chinese,annalin27
,english,annattaipei
,chinese,annattaipei
,english,anne911
somewhat,english,annewu
fluently,chinese,annewu
somewhat,english,annfish
fluently,chinese,annfish
fluently,japanese,anngo0229
fluently,chinese_(mandarin),anngo0229
somewhat,english,anngo0229
somewhat,korean,anngo0229
,english,annie165
,chinese,annie_lin
fluently,english,anniechiang
fluently,chinese,anniechiang
somewhat,english,annietsai
fluently,chinese_(mandarin),annietsai
somewhat,korean,annietsai
,english,annleenn
,chinese_(mandarin),annleenn
,english,annliao
,chinese,annliao
fluently,chinese_(mandarin),annpai
somewhat,english,annpai
fluently,chinese_(mandarin),annthecutie
fluently,english,annthecutie
somewhat,japanese,annthecutie
,english,anohjmisaki
fluently,english,anonymousvfromtw
fluently,chinese,anonymousvfromtw
somewhat,english,antjetaiwan
fluently,chinese,antjetaiwan
,english,antoinetwfr
,english,antonytku
,chinese,antonytku
,english,antwainui
somewhat,chinese,antwainui
,english,anurag0009
somewhat,english,anutamoscow
fluently,russian,anutamoscow
somewhat,french,anutamoscow
,english,anyacloud
,english,aoibear
,chinese,aoibear
,english,aoielin
,english,apmy
fluently,chinese_(mandarin),apmy
fluently,english,applemerry
fluently,chinese,applemerry
somewhat,japanese,applemerry
,english,appleshih
,english,aprealtron
,english,aprilchuuu
,english,aprillai
,chinese,aprillai
fluently,chinese_(mandarin),aprillin1992
somewhat,english,aprillin1992
,english,apx70616
fluently,english,archer168
fluently,chinese,archer168
somewhat,japanese,archer168
,english,archieglam
,tagalog,archieglam
,english,arcularis
,english,ardon_t
fluently,english,arenawang
fluently,chinese,arenawang
,english,ariadne0809
fluently,english,ariariwong
fluently,chinese,ariariwong
somewhat,japanese,ariariwong
somewhat,german,ariariwong
fluently,english,ariechang
fluently,chinese,ariechang
,english,ariel1223
,chinese_(mandarin),ariel1223
,english,arielforest
,english,ariesgarcon
,chinese_(mandarin),arlene283
somewhat,english,arron7760
fluently,chinese,arron7760
,english,arrowwei
,english,arteago
,chinese,arteago
,english,artedontcare
,english,artemis77_taco
,english,artis13
,chinese_(mandarin),artis13
,english,arunkp306
,chinese,arunkp306
fluently,tagalog,arvie19
somewhat,english,arvie19
,english,asd959697
somewhat,english,asdfg869527
fluently,chinese,asdfg869527
,english,ash01101987
,chinese,ashcrystle
,english,ashelylu
,japanese,ashelylu
,chinese_(mandarin),ashelylu
,english,ashley517517
,english,ashley9876_tw
,english,ashleychang123
fluently,chinese,ashleyformosa
,english,ashleyformosa
,english,ashleymors
,chinese_(mandarin),ashleymors
,russian,ashleymors
,korean,ashleymors
,chinese,asiatina90
,english,asiatina90
somewhat,spanish,asiatina90
,english,asjk1991
,dutch,asjk1991
,english,asleepwithme
,english,asodorf
,chinese_(mandarin),asodorf
fluently,english,asormer
somewhat,chinese,asormer
fluently,english,asteroid1985
fluently,french,asteroid1985
somewhat,german,asteroid1985
somewhat,chinese,asteroid1985
somewhat,japanese,asteroid1985
,english,astrid_tsai
,chinese_(mandarin),astrid_tsai
,english,asuademma
fluently,chinese_(mandarin),asuademma
fluently,english,atalanta0822
fluently,chinese,atalanta0822
somewhat,japanese,atalanta0822
fluently,english,atc0401
fluently,chinese,atc0401
somewhat,japanese,atc0401
,english,athenalili
,english,audreycchen
,chinese,audreycchen
,chinese,august033
,english,august033
,english,avan77
fluently,japanese,avan77
somewhat,chinese,avan77
somewhat,french,avan77
fluently,english,aviho10
fluently,hebrew,aviho10
,chinese_(mandarin),avocadomy
,english,avocadomy
,english,axel2178
,french,axel2178
somewhat,chinese,axel2178
fluently,english,axiosel
fluently,chinese_(mandarin),axiosel
somewhat,german,axiosel
somewhat,chinese_(cantonese),axiosel
,english,ay12345
,chinese_(mandarin),ay12345
,english,ayman236
fluently,english,aysy
fluently,chinese,aysy
,english,azamhamid
,malay,azamhamid
fluently,english,aznwes
fluently,chinese,aznwes
,chinese,b00910
,english,b00910
somewhat,english,babuhuang
somewhat,japanese,babuhuang
,english,baby8852
fluently,english,babygang
fluently,chinese,babygang
somewhat,german,babygang
,english,babyjolens
somewhat,chinese_(mandarin),babyjolens
fluently,tagalog,babyjolens
,english,bag_o_ayaan
,english,bag_o_dorris
,english,bag_o_joice
,english,bag_o_nonie
,english,bag_o_seanl
,english,bago_tbear
fluently,english,bailz8
somewhat,chinese,bailz8
,english,bala0824
fluently,chinese_(mandarin),baltec
,english,baltec
fluently,english,baltic_matera
somewhat,french,baltic_matera
fluently,english,banaatnorca
fluently,chinese,banaatnorca
somewhat,spanish,banaatnorca
fluently,english,bananajon
fluently,chinese,bananajon
fluently,english,bananalu
fluently,german,bananalu
somewhat,chinese_(mandarin),bananalu
,english,baoxin
,chinese_(mandarin),baoxin
fluently,english,baoxiong
,chinese,baoxiong
fluently,french,baoxiong
,english,baqx2001
,english,barashkov1
,english,barlasung
,chinese,barlasung
,english,baron2k
fluently,english,basilhall
somewhat,chinese,basilhall
somewhat,french,basilhall
fluently,chinese_(mandarin),basketboyasaurus
fluently,english,basketboyasaurus
,english,bastian765
,german,bastian765
somewhat,english,bb55sh
,chinese,bb55sh
fluently,english,bblase
fluently,spanish,bblase
somewhat,portuguese,bblase
somewhat,italian,bblase
somewhat,french,bblase
,english,bcbcbc38
,chinese,bcbcbc38
somewhat,japanese,bcbcbc38
fluently,english,bclilian
fluently,chinese,bclilian
somewhat,korean,bclilian
somewhat,spanish,bclilian
fluently,chinese,bcwc
fluently,english,bcwc
,chinese,bdmasa
,english,bdmasa
somewhat,english,bearbearstar
,chinese_(mandarin),bearbearstar
,english,bearkuo
,chinese,bearkuo
,english,bebelilian
,chinese,bebo0831
,english,bebo0831
fluently,english,becky5955
fluently,chinese_(mandarin),becky5955
somewhat,english,becky627
,chinese,becky627
,english,beckyhsieh
,english,becooldocool
,english,bee47
,english,befinebehappy
somewhat,english,bei-yi
fluently,chinese,bei-yi
,english,bei124
,chinese_(mandarin),bei124
,english,beikuan
,chinese_(mandarin),beikuan
somewhat,japanese,beikuan
,english,beilahsu
,english,belivei
