id,lookingFor,metric,username
0,new_friends,Relationship,07flying
1,long_term_dating,Relationship,07flying
2,34,min_age,07flying
3,50,max_age,07flying
0,new_friends,Relationship,098dmx
1,long_term_dating,Relationship,098dmx
2,short_term_dating,Relationship,098dmx
3,23,min_age,098dmx
4,52,max_age,098dmx
0,new_friends,Relationship,10wa
1,long_term_dating,Relationship,10wa
2,short_term_dating,Relationship,10wa
3,37,min_age,10wa
4,65,max_age,10wa
0,new_friends,Relationship,11mjerao
1,40,min_age,11mjerao
2,70,max_age,11mjerao
0,new_friends,Relationship,1212amber
1,long_term_dating,Relationship,1212amber
2,short_term_dating,Relationship,1212amber
3,casual_sex,Relationship,1212amber
4,26,min_age,1212amber
5,40,max_age,1212amber
0,new_friends,Relationship,12flugor
1,long_term_dating,Relationship,12flugor
2,short_term_dating,Relationship,12flugor
3,22,min_age,12flugor
4,46,max_age,12flugor
0,new_friends,Relationship,1981124h
1,long_term_dating,Relationship,1981124h
2,short_term_dating,Relationship,1981124h
3,25,min_age,1981124h
4,45,max_age,1981124h
0,new_friends,Relationship,1newkid
1,long_term_dating,Relationship,1newkid
2,short_term_dating,Relationship,1newkid
3,28,min_age,1newkid
4,43,max_age,1newkid
0,new_friends,Relationship,20160131
1,short_term_dating,Relationship,20160131
2,20,min_age,20160131
3,40,max_age,20160131
0,new_friends,Relationship,2020201
1,28,min_age,2020201
2,34,max_age,2020201
0,new_friends,Relationship,23_missm
1,long_term_dating,Relationship,23_missm
2,short_term_dating,Relationship,23_missm
3,19,min_age,23_missm
4,34,max_age,23_missm
0,new_friends,Relationship,23charina
1,long_term_dating,Relationship,23charina
2,short_term_dating,Relationship,23charina
3,19,min_age,23charina
4,34,max_age,23charina
0,new_friends,Relationship,28851262
1,long_term_dating,Relationship,28851262
2,short_term_dating,Relationship,28851262
3,casual_sex,Relationship,28851262
4,18,min_age,28851262
5,20,max_age,28851262
0,new_friends,Relationship,33hibiscus
1,long_term_dating,Relationship,33hibiscus
2,29,min_age,33hibiscus
3,40,max_age,33hibiscus
0,new_friends,Relationship,3princess
1,long_term_dating,Relationship,3princess
2,40,min_age,3princess
3,65,max_age,3princess
0,new_friends,Relationship,3san3
1,25,min_age,3san3
2,35,max_age,3san3
0,new_friends,Relationship,4uintw
1,long_term_dating,Relationship,4uintw
2,short_term_dating,Relationship,4uintw
3,casual_sex,Relationship,4uintw
4,18,min_age,4uintw
5,70,max_age,4uintw
0,new_friends,Relationship,520istrue
1,long_term_dating,Relationship,520istrue
2,27,min_age,520istrue
3,41,max_age,520istrue
0,new_friends,Relationship,6bluesunshine6
1,long_term_dating,Relationship,6bluesunshine6
2,short_term_dating,Relationship,6bluesunshine6
3,20,min_age,6bluesunshine6
4,40,max_age,6bluesunshine6
0,new_friends,Relationship,6thavenue
1,30,min_age,6thavenue
2,52,max_age,6thavenue
0,new_friends,Relationship,78421tw
1,long_term_dating,Relationship,78421tw
2,short_term_dating,Relationship,78421tw
3,30,min_age,78421tw
4,47,max_age,78421tw
0,new_friends,Relationship,7hao
1,long_term_dating,Relationship,7hao
2,short_term_dating,Relationship,7hao
3,casual_sex,Relationship,7hao
4,20,min_age,7hao
5,40,max_age,7hao
0,new_friends,Relationship,89248
1,20,min_age,89248
2,27,max_age,89248
0,long_term_dating,Relationship,9refresh
1,36,min_age,9refresh
2,42,max_age,9refresh
0,new_friends,Relationship,_____adam______
1,long_term_dating,Relationship,_____adam______
2,short_term_dating,Relationship,_____adam______
3,19,min_age,_____adam______
4,34,max_age,_____adam______
0,new_friends,Relationship,_blaze_
1,long_term_dating,Relationship,_blaze_
2,short_term_dating,Relationship,_blaze_
3,casual_sex,Relationship,_blaze_
4,19,min_age,_blaze_
5,36,max_age,_blaze_
0,new_friends,Relationship,_o_mathilde
1,long_term_dating,Relationship,_o_mathilde
2,short_term_dating,Relationship,_o_mathilde
3,22,min_age,_o_mathilde
4,42,max_age,_o_mathilde
0,new_friends,Relationship,a-pen
1,long_term_dating,Relationship,a-pen
2,short_term_dating,Relationship,a-pen
3,21,min_age,a-pen
4,42,max_age,a-pen
0,new_friends,Relationship,a00151500
1,long_term_dating,Relationship,a00151500
2,short_term_dating,Relationship,a00151500
3,18,min_age,a00151500
4,28,max_age,a00151500
0,new_friends,Relationship,a007-rock
1,long_term_dating,Relationship,a007-rock
2,short_term_dating,Relationship,a007-rock
3,21,min_age,a007-rock
4,44,max_age,a007-rock
0,new_friends,Relationship,a0710
1,18,min_age,a0710
2,28,max_age,a0710
0,new_friends,Relationship,a0986586725
1,long_term_dating,Relationship,a0986586725
2,short_term_dating,Relationship,a0986586725
3,casual_sex,Relationship,a0986586725
4,19,min_age,a0986586725
5,34,max_age,a0986586725
0,new_friends,Relationship,a44455566
1,long_term_dating,Relationship,a44455566
2,short_term_dating,Relationship,a44455566
3,19,min_age,a44455566
4,34,max_age,a44455566
0,new_friends,Relationship,a5121231
1,long_term_dating,Relationship,a5121231
2,short_term_dating,Relationship,a5121231
3,21,min_age,a5121231
4,42,max_age,a5121231
0,new_friends,Relationship,a6519099
1,18,min_age,a6519099
2,26,max_age,a6519099
0,new_friends,Relationship,a7500200013
1,long_term_dating,Relationship,a7500200013
2,22,min_age,a7500200013
3,29,max_age,a7500200013
0,new_friends,Relationship,a87124
1,long_term_dating,Relationship,a87124
2,18,min_age,a87124
3,21,max_age,a87124
0,new_friends,Relationship,a_life_aquatic
1,long_term_dating,Relationship,a_life_aquatic
2,38,min_age,a_life_aquatic
3,48,max_age,a_life_aquatic
0,new_friends,Relationship,aaaaaannaaaaaa
1,long_term_dating,Relationship,aaaaaannaaaaaa
2,short_term_dating,Relationship,aaaaaannaaaaaa
3,18,min_age,aaaaaannaaaaaa
4,26,max_age,aaaaaannaaaaaa
0,new_friends,Relationship,aaaaannnnnn
1,long_term_dating,Relationship,aaaaannnnnn
2,short_term_dating,Relationship,aaaaannnnnn
3,20,min_age,aaaaannnnnn
4,39,max_age,aaaaannnnnn
0,new_friends,Relationship,aappk
1,long_term_dating,Relationship,aappk
2,33,min_age,aappk
3,43,max_age,aappk
0,new_friends,Relationship,aarin_taco
1,long_term_dating,Relationship,aarin_taco
2,short_term_dating,Relationship,aarin_taco
3,casual_sex,Relationship,aarin_taco
4,19,min_age,aarin_taco
5,35,max_age,aarin_taco
0,new_friends,Relationship,aaron1219
1,long_term_dating,Relationship,aaron1219
2,short_term_dating,Relationship,aaron1219
3,,Relationship,aaron1219
4,,Relationship,aaron1219
5,casual_sex,Relationship,aaron1219
6,21,min_age,aaron1219
7,45,max_age,aaron1219
0,new_friends,Relationship,aaronthebestbest
1,18,min_age,aaronthebestbest
2,35,max_age,aaronthebestbest
0,new_friends,Relationship,aas87127tw
1,18,min_age,aas87127tw
2,23,max_age,aas87127tw
0,new_friends,Relationship,abas1_taco
1,long_term_dating,Relationship,abas1_taco
2,short_term_dating,Relationship,abas1_taco
3,21,min_age,abas1_taco
4,44,max_age,abas1_taco
0,new_friends,Relationship,abbey_leee
1,long_term_dating,Relationship,abbey_leee
2,short_term_dating,Relationship,abbey_leee
3,19,min_age,abbey_leee
4,36,max_age,abbey_leee
0,new_friends,Relationship,abbeyzv
1,long_term_dating,Relationship,abbeyzv
2,short_term_dating,Relationship,abbeyzv
3,casual_sex,Relationship,abbeyzv
4,18,min_age,abbeyzv
5,30,max_age,abbeyzv
0,new_friends,Relationship,abbiewu1024
1,long_term_dating,Relationship,abbiewu1024
2,short_term_dating,Relationship,abbiewu1024
3,18,min_age,abbiewu1024
4,22,max_age,abbiewu1024
0,new_friends,Relationship,abby-cheng
1,long_term_dating,Relationship,abby-cheng
2,short_term_dating,Relationship,abby-cheng
3,21,min_age,abby-cheng
4,44,max_age,abby-cheng
0,new_friends,Relationship,abby101176
1,long_term_dating,Relationship,abby101176
2,short_term_dating,Relationship,abby101176
3,20,min_age,abby101176
4,59,max_age,abby101176
0,new_friends,Relationship,abby257
1,28,min_age,abby257
2,38,max_age,abby257
0,new_friends,Relationship,abbychen
1,long_term_dating,Relationship,abbychen
2,25,min_age,abbychen
3,45,max_age,abbychen
0,new_friends,Relationship,abbyend
1,20,min_age,abbyend
2,36,max_age,abbyend
0,new_friends,Relationship,abbypc
1,long_term_dating,Relationship,abbypc
2,short_term_dating,Relationship,abbypc
3,18,min_age,abbypc
4,29,max_age,abbypc
0,new_friends,Relationship,abbypei
1,long_term_dating,Relationship,abbypei
2,short_term_dating,Relationship,abbypei
3,18,min_age,abbypei
4,32,max_age,abbypei
0,new_friends,Relationship,abbytsai123
1,long_term_dating,Relationship,abbytsai123
2,short_term_dating,Relationship,abbytsai123
3,18,min_age,abbytsai123
4,26,max_age,abbytsai123
0,new_friends,Relationship,abbywhy
1,18,min_age,abbywhy
2,99,max_age,abbywhy
0,new_friends,Relationship,abcd1234athecat
1,long_term_dating,Relationship,abcd1234athecat
2,short_term_dating,Relationship,abcd1234athecat
3,25,min_age,abcd1234athecat
4,46,max_age,abcd1234athecat
0,new_friends,Relationship,abe55132
1,long_term_dating,Relationship,abe55132
2,short_term_dating,Relationship,abe55132
3,19,min_age,abe55132
4,35,max_age,abe55132
0,new_friends,Relationship,abeeeeeeeee0301
1,long_term_dating,Relationship,abeeeeeeeee0301
2,short_term_dating,Relationship,abeeeeeeeee0301
