,birthDateDay,birthDateMonth,birthDateYear,bodytype,cats,childrenHave,childrenWant,diet,dogs,drinking,drugs,educationModifier,educationValue,gender,heightCm,locationCountryCode,locationFormatted,monogamous,orientation,religionModifier,religionValue,sign,smoking,status,username,weed,lat,long,minAge,maxAge,language,Ethnicity,age,sexPreference
0,2,9,1985,,,,,,,,,,,man,0,tw,lu-tsun,,straight,,,,,single,akim465,,34.08889847,-118.4596346,22,48,,,31,woman
1,27,8,1994,,,,,,,,,,,woman,0,tw,lu-tsun,,straight,,,virgo,,single,shmily3166,,34.11806628,-118.3959695,18,30,,,22,man
2,23,6,1980,,,doesnt_have,might_want,,has_dogs,socially,never,,university,woman,165,tw,yung-fu,,straight,,,cancer,,single,biancalecirque,,35.64933053,-105.9506663,24,99,chinese,asian,36,man
3,5,2,1990,,,,,,,,never,,,man,180,tw,chi-li,,straight,,,,,single,daisukechen,,44.71220686,-90.36886948,20,38,,,26,woman
4,1,12,1987,,,,,,,not_at_all,never,,university,woman,0,tw,tu-ku,,straight,but_its_not_important,buddhism,sagittarius,no,single,yvonne5818,,-9.838441194,-77.45896825,20,36,,asian,29,man
5,8,12,1977,curvy,has_cats,doesnt_have,,omnivore,,socially,never,,university,woman,150,tw,tu-ku,monogamous,straight,but_its_not_important,buddhism,sagittarius,no,single,chenchen38,,-9.998397769,-77.14978528,35,50,chinese,asian,39,man
6,23,11,1990,,,,,,,not_at_all,never,,university,man,174,tw,tu-ku,,straight,,,sagittarius,yes,single,stanlychu,,-9.55879663,-77.11508772,20,28,,,26,woman
7,4,3,1983,,,,,,,,,,post_grad,man,183,tw,wei-lin,,straight,,,pisces,,single,jaimej06,,40.80625519,-73.71791195,18,52,,hispanic_latin,33,woman
8,19,3,1976,thin,,,,,,not_at_all,never,,university,man,187,tw,ta-an,,straight,,,cancer,no,single,happymantw,,47.00557716,7.75249471,24,40,french,white,40,woman
9,7,5,1980,jacked,,doesnt_have,,vegetarian,,socially,never,,post_grad,man,180,tw,ta-an,monogamous,straight,and_laughing_about_it,atheism,,no,single,tylenchus,,47.17919593,7.838548413,26,39,chinese,white,36,woman
10,9,11,1982,,,,,,has_dogs,,,,,man,0,tw,ta-an,,straight,,,scorpio,,single,magdalen1109,,47.07417619,7.846494278,18,54,,,34,woman
11,15,7,1985,,,,,,,,never,,post_grad,woman,0,tw,ta-an,,straight,,,,no,single,beryleasel,,46.9809616,7.899865871,26,36,,asian,31,man
12,16,12,1981,,,,,,,,,,,woman,0,tw,ta-an,,straight,,,,,single,chrestie,,47.12136977,7.931315098,23,45,,,35,man
13,3,11,1982,,,,,,,,never,,,man,0,tw,ku-i,,straight,,,,,single,taiwaneseinabox,,49.99730371,11.21152797,24,54,,,34,woman
14,22,9,1976,,,,,,,,,,,man,0,tw,i-te,,straight,,,,,single,simplebee_h,,42.53592095,13.63771659,23,60,,,40,woman
15,27,12,1987,,,,,,,,never,,,man,0,tw,lan-ya,,straight,,,,,single,johnricky123,,4.242858172,31.04696975,21,42,,,29,woman
16,24,11,1981,average_build,,,,omnivore,has_dogs,socially,never,,university,woman,173,tw,hsi-shan,monogamous,straight,,,sagittarius,no,single,christian6981,,20.12718955,97.2518004,24,56,,asian,35,man
17,20,5,1993,,has_cats,,,,,not_at_all,,,,woman,165,tw,chang-tai,,straight,,,gemini,no,single,woodyhee,,18.9247333,98.87154785,20,30,chinese,,23,man
18,23,12,1983,fit,,doesnt_have,,omnivore,,socially,never,,university,man,160,tw,chao-yang-li,,straight,,buddhism,capricorn,no,single,carlos_enrique,,27.1112425,100.6899585,24,34,english,hispanic_latin,33,woman
19,27,4,1993,,,,,,,socially,never,,,man,0,tw,chao-yang-li,,straight,,,,sometimes,single,ralph_tu,,27.25678639,100.7946371,18,32,,,23,woman
20,5,1,1997,,,,,,,,never,,university,woman,0,tw,chao-yang-li,,straight,,,,no,single,linda9788877,,27.29469523,100.9361005,18,30,,asian,20,man
21,23,2,1984,,,,,,,,never,,,woman,0,tw,ta-jao,,straight,,,,,single,quizas1984,,16.24337734,103.5754295,22,40,,,32,man
22,21,4,1998,,,doesnt_have,,,,socially,never,,,woman,157,tw,nei-kou,,straight,,,,no,single,tenmotop,,27.76479462,104.8778074,18,33,,asian,18,man
23,24,1,1989,,,,,,has_dogs,,,,,woman,0,tw,chang-an-li,,straight,,,,,single,yennydermawan,,28.96841555,105.5010987,20,40,,,27,man
24,16,12,1992,,,,,,,,,,,man,0,tw,wa-yao-tzu,,straight,,,,,single,mar92jh,,33.09569267,107.0771662,19,26,,,24,woman
25,22,4,1993,,,,,,,socially,,working_on,,woman,0,tw,yan-shan,,straight,,,,,single,kusumita_wu,,21.61168851,109.8197623,18,32,,,23,man
26,18,8,1991,,,,,,,socially,,,,man,0,tw,yan-shan,,straight,,,,sometimes,single,nychht,,21.44056214,110.119527,18,99,,asian,25,woman
27,21,11,1979,curvy,,doesnt_have,wants,,,socially,never,,university,woman,160,tw,yan-shan,monogamous,straight,,,scorpio,no,single,s-ching,,21.74301312,110.2242171,34,45,chinese,asian,37,man
28,26,5,1988,,,,,,,,,,,woman,0,tw,yan-shan,,straight,,,,,single,velopethecat,,21.54294344,110.2923291,28,42,,,28,man
29,13,12,1986,fit,,doesnt_have,wants,omnivore,,socially,never,,university,woman,164,tw,tung-shih,monogamous,straight,,other,sagittarius,no,single,nanababikawaii99,,34.10436625,112.0814037,22,46,,asian,30,man
30,30,10,1984,rather_not_say,has_cats,,,omnivore,,socially,never,working_on,post_grad,woman,164,tw,tung-shih,,gay,,,scorpio,sometimes,single,yuliu_rock,,34.10447408,112.0994599,22,42,chinese,asian,32,everyone
31,29,8,1981,curvy,has_cats,doesnt_have,wants,,,socially,never,,university,woman,165,tw,tung-shih,,straight,,,virgo,no,single,irene916,,34.16075313,112.1052428,32,42,chinese,asian,35,man
