age,sex,username
21,f,StephanieG_tx_tw
21,f,nadiayang7
21,f,Toots70
21,f,Grace-Chen_taco
21,f,Ivychiang
21,f,jennysu61
21,f,Sammi580557
21,f,dolphin168
21,f,windycake
21,f,soniblue
21,f,adashih
21,f,Sharontw333
21,f,Chloeusa
21,f,6thavenue
21,f,AnnieChiang
21,f,LittleQueen257
21,f,hhchen1023
21,f,amyhseu
21,f,Misherrpeng
22,f,nadiayang7
22,f,6thavenue
22,f,Chloeusa
22,f,Ivychiang
22,f,jennysu61
22,f,StephanieG_tx_tw
22,f,adashih
22,f,Sharontw333
22,f,amyhseu
22,f,LittleQueen257
22,f,windycake
22,f,Grace-Chen_taco
22,f,AnnieChiang
22,f,Misherrpeng
22,f,Toots70
22,f,soniblue
22,f,dolphin168
22,f,hhchen1023
22,f,elaine0826inabox
22,f,vaneilo
22,f,jchen1029
22,f,soynora
22,f,Unununiumthecat
22,f,AnnatTaipei
22,f,lawrishel
22,f,spicegirlfromTW
22,f,Hellofromhsu
22,f,amersha
22,f,dabby526
22,f,cecima
22,f,JIA_Chang
22,f,zyl168
22,f,bristolmaple
22,f,Victoria_kiki
22,f,Ching40
22,f,Jasminnn11
22,f,Wei_Taiwan
22,f,coffeecai
22,f,lynnyao
22,f,cariro
22,f,Unafrog
22,f,ChrisCH-
22,f,Qoo1105
22,f,destinz
22,f,10211
22,f,chiang215
22,f,zona_trip
22,f,ArieChang
22,f,That-Lady
22,f,NorineW
22,f,meethappyou
22,f,nata52free
22,f,bingoops
22,f,iristin
23,f,tntan
23,f,BeckyHsieh
23,f,Mirachiu
23,f,vernalrosa
23,f,j730606kimo
23,f,SininYu
23,f,Qoo1105
23,f,HKTKOALY
23,f,chabichou88
23,f,hundertm
23,f,neeshan
23,f,Linlin616
23,f,Californianne
23,f,chi0514
23,f,Jas1458
23,f,BettyChiou
23,f,tjoanne
23,f,Jean-168
23,f,painting123
23,f,lanceevo
23,f,Edsandy
23,f,Tina_76782
23,f,ppp1991
23,f,kelly123bear
23,f,cueiiii
23,f,1981124H
23,f,kittyevain
23,f,patty0922
23,f,Cheng-Yu
23,f,Gina-Chang
23,f,iamprettyiamugly
23,f,Janice0602
23,f,orbita-azul
23,f,fanying
23,f,orangeroute
23,f,summergogogo
23,f,Jeanwearsnojeans
23,f,ChloeYin
23,f,bearbearstar
23,f,PeggyJuang
23,f,ChingChingChang
23,f,YapingChen
23,f,christying
23,f,eileen_pai
23,f,linda21077
23,f,ettwsais2002
23,f,Eva3347
23,f,amay724
