birthDateDay,birthDateMonth,birthDateYear,bodytype,drinking,educationValue,gender,heightCm,locationFormatted,smoking,username,lat,long,minAge,maxAge,age,sexPreference,orientation
2,9,1985,,,,man,0,lu-tsun,,akim465,34.08889847,-118.4596346,22,48,31,woman,straight
27,8,1994,,,,woman,0,lu-tsun,,shmily3166,34.11806628,-118.3959695,18,30,22,man,straight
23,6,1980,,socially,university,woman,165,yung-fu,,biancalecirque,35.64933053,-105.9506663,24,99,36,man,straight
5,2,1990,,,,man,180,chi-li,,daisukechen,44.71220686,-90.36886948,20,38,26,woman,straight
1,12,1987,,not_at_all,university,woman,0,tu-ku,no,yvonne5818,-9.838441194,-77.45896825,20,36,29,man,straight
8,12,1977,curvy,socially,university,woman,150,tu-ku,no,chenchen38,-9.998397769,-77.14978528,35,50,39,man,straight
23,11,1990,,not_at_all,university,man,174,tu-ku,yes,stanlychu,-9.55879663,-77.11508772,20,28,26,woman,straight
4,3,1983,,,post_grad,man,183,wei-lin,,jaimej06,40.80625519,-73.71791195,18,52,33,woman,straight
19,3,1976,thin,not_at_all,university,man,187,ta-an,no,happymantw,47.00557716,7.75249471,24,40,40,woman,straight
7,5,1980,jacked,socially,post_grad,man,180,ta-an,no,tylenchus,47.17919593,7.838548413,26,39,36,woman,straight
9,11,1982,,,,man,0,ta-an,,magdalen1109,47.07417619,7.846494278,18,54,34,woman,straight
15,7,1985,,,post_grad,woman,0,ta-an,no,beryleasel,46.9809616,7.899865871,26,36,31,man,straight
16,12,1981,,,,woman,0,ta-an,,chrestie,47.12136977,7.931315098,23,45,35,man,straight
3,11,1982,,,,man,0,ku-i,,taiwaneseinabox,49.99730371,11.21152797,24,54,34,woman,straight
22,9,1976,,,,man,0,i-te,,simplebee_h,42.53592095,13.63771659,23,60,40,woman,straight
27,12,1987,,,,man,0,lan-ya,,johnricky123,4.242858172,31.04696975,21,42,29,woman,straight
24,11,1981,average_build,socially,university,woman,173,hsi-shan,no,christian6981,20.12718955,97.2518004,24,56,35,man,straight
20,5,1993,,not_at_all,,woman,165,chang-tai,no,woodyhee,18.9247333,98.87154785,20,30,23,man,straight
23,12,1983,fit,socially,university,man,160,chao-yang-li,no,carlos_enrique,27.1112425,100.6899585,24,34,33,woman,straight
27,4,1993,,socially,,man,0,chao-yang-li,sometimes,ralph_tu,27.25678639,100.7946371,18,32,23,woman,straight
5,1,1997,,,university,woman,0,chao-yang-li,no,linda9788877,27.29469523,100.9361005,18,30,20,man,straight
23,2,1984,,,,woman,0,ta-jao,,quizas1984,16.24337734,103.5754295,22,40,32,man,straight
21,4,1998,,socially,,woman,157,nei-kou,no,tenmotop,27.76479462,104.8778074,18,33,18,man,straight
24,1,1989,,,,woman,0,chang-an-li,,yennydermawan,28.96841555,105.5010987,20,40,27,man,straight
16,12,1992,,,,man,0,wa-yao-tzu,,mar92jh,33.09569267,107.0771662,19,26,24,woman,straight
22,4,1993,,socially,,woman,0,yan-shan,,kusumita_wu,21.61168851,109.8197623,18,32,23,man,straight
18,8,1991,,socially,,man,0,yan-shan,sometimes,nychht,21.44056214,110.119527,18,99,25,woman,straight
21,11,1979,curvy,socially,university,woman,160,yan-shan,no,s-ching,21.74301312,110.2242171,34,45,37,man,straight
26,5,1988,,,,woman,0,yan-shan,,velopethecat,21.54294344,110.2923291,28,42,28,man,straight
13,12,1986,fit,socially,university,woman,164,tung-shih,no,nanababikawaii99,34.10436625,112.0814037,22,46,30,man,straight
30,10,1984,rather_not_say,socially,post_grad,woman,164,tung-shih,sometimes,yuliu_rock,34.10447408,112.0994599,22,42,32,woman,gay
29,8,1981,curvy,socially,university,woman,165,tung-shih,no,irene916,34.16075313,112.1052428,32,42,35,man,straight
28,5,1977,,,,woman,0,pang-po,,minicutemei,33.00784853,112.1960835,26,64,39,man,straight
14,10,1990,thin,,university,man,182,tung-shih,no,goyah,33.93238934,112.3202719,19,36,26,woman,straight
31,1,1992,,,,woman,160,chu-nan,,lablabsandra,28.06255746,112.9496314,19,34,24,man,straight
17,11,1996,,,,woman,0,chu-nan,,jaspergentleman2,28.0960762,113.0756264,18,26,20,man,straight
28,10,1983,fit,often,university,man,179,chung-shan,yes,darkchocoloversg,22.51122533,113.3080255,23,52,33,woman,straight
2,10,1991,,,,man,0,chung-shan,,camgaoge,22.50983421,113.3280101,22,36,25,woman,straight
5,10,1985,,,,man,0,chung-shan,,skivvv,22.56638172,113.3335852,22,48,31,woman,straight
4,12,1980,,,,man,0,chung-shan,,thomastaipei,22.47048737,113.3650752,18,35,36,woman,straight
1,8,1995,,,,woman,170,chung-shan,,htyk81,22.52349251,113.3740583,20,24,21,man,straight
14,8,1991,,,,man,0,chung-shan,,sharkidd,22.48656878,113.3958862,19,36,25,woman,straight
26,3,1983,,,,man,0,chung-shan,,homagethomas,22.41375416,113.3996454,23,40,33,woman,straight
3,12,1992,,socially,,woman,160,chung-shan,sometimes,grimmychen,22.41265117,113.4141536,24,28,24,man,straight
